source,steam_id,name,release_date,year,is_free,price,currency,metacritic,recommendations,genres,developers,publishers,estimated_copies,price_usd,gross_revenue_est_usd,primary_genre,dev_location
steam,510540.0,Long Gone Days,10 OCT 2023,2023,False,15618.0,CLP,,454,"Aventura, Indie, Rol",This I Dreamt,Serenity Forge,18160,16.44,298550.4,Aventura,Chile (General)
steam,567980.0,Santa Rockstar,13 DIC 2016,2016,False,3100.0,CLP,,255,"Casual, Indie",Bekho Team,Volens Nolens Games,10200,3.26,33252.0,Casual,Chile (General)
steam,770760.0,Dungeon of the Forgotten King,2026,2026,False,0.0,CLP,,0,"Indie, Rol",Crazy Goat Studios,Crazy Goat Studios,0,0.0,0.0,Indie,Chile (General)
steam,776930.0,Omnibion War,6 FEB 2020,2020,False,4200.0,CLP,,0,"Acción, Indie",Crazy Bullet,Fulqrum Publishing,0,4.42,0.0,Acción,Chile (General)
steam,863460.0,Cyber Ops,21 MAY 2020,2020,False,6400.0,CLP,,106,"Acción, Indie, Simuladores, Estrategia",Octeto Studios,Games Operators,4240,6.74,28577.600000000002,Acción,Santiago
steam,865680.0,The Eternal Cylinder,13 OCT 2022,2022,False,13000.0,CLP,79.0,1009,"Acción, Aventura",ACE Team,Good Shepherd Entertainment,40360,13.68,552124.8,Acción,Santiago
steam,906480.0,Defenders of Ekron - Definitive Edition,7 AGO 2018,2018,False,6400.0,CLP,,0,"Acción, Aventura, Indie",In Vitro Games,In Vitro Games,0,6.74,0.0,Acción,Chile (General)
itch,,This is Chile - Psychiatric edition,,Unknown,True,0.0,USD,,0,Educational,Predeterminado,Self-published,0,0.0,0.0,Educational,Chile (General)
itch,,CoÃ±aripe,,Unknown,True,0.0,USD,,0,Fighting,Crismoonster,Self-published,0,0.0,0.0,Fighting,Chile (General)
itch,,DINA,,Unknown,True,0.0,USD,,0,Unknown,Khoser,Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,Froggo Qlero,,Unknown,True,0.0,USD,,0,Adventure,ElLimitador,Self-published,0,0.0,0.0,Adventure,Chile (General)
itch,,Quest for the Epic Treasure,,Unknown,True,0.0,USD,,0,Platformer,orenjikun,Self-published,0,0.0,0.0,Platformer,Chile (General)
itch,,Nada hacia presagiar,,Unknown,True,0.0,USD,,0,Adventure,iddgamelabs,Self-published,0,0.0,0.0,Adventure,Chile (General)
itch,,Huemulixir,,Unknown,True,0.0,USD,,0,Interactive Fiction,CLSource,Self-published,0,0.0,0.0,Interactive Fiction,Chile (General)
itch,,Age of Origins - Prototype,,Unknown,True,0.0,USD,,0,Educational,Rolando Chaparro Gehren,Self-published,0,0.0,0.0,Educational,Chile (General)
itch,,Super Happy Jump,,Unknown,True,0.0,USD,,0,Platformer,Elvis Brevi,Self-published,0,0.0,0.0,Platformer,Chile (General)
itch,,Erden - Classic RPG (DEMO),,Unknown,True,0.0,USD,,0,Role Playing,XeloSky,Self-published,0,0.0,0.0,Role Playing,Chile (General)
itch,,Molly Inc (Prototype),,Unknown,True,0.0,USD,,0,Adventure,Rolando Chaparro Gehren,Self-published,0,0.0,0.0,Adventure,Chile (General)
itch,,Presidential Fighter,,Unknown,True,0.0,USD,,0,Unknown,imkrut,Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,Kito,,Unknown,True,0.0,USD,,0,Platformer,Krypth,Self-published,0,0.0,0.0,Platformer,Chile (General)
itch,,Portonazo,,Unknown,True,0.0,USD,,0,Fighting,Victor Rosas,Self-published,0,0.0,0.0,Fighting,Chile (General)
itch,,FireFighters,,Unknown,True,0.0,USD,,0,Strategy,CÃ©sar Jara,Self-published,0,0.0,0.0,Strategy,Chile (General)
itch,,Dismal Day,,Unknown,True,0.0,USD,,0,Survival,Phyro,Self-published,0,0.0,0.0,Survival,Chile (General)
itch,,Portales: El peso de la noche,,Unknown,True,0.0,USD,,0,Role Playing,Rolando Chaparro Gehren,Self-published,0,0.0,0.0,Role Playing,Chile (General)
itch,,ScapeFromLatam,,Unknown,True,0.0,USD,,0,Unknown,Rancucho,Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,CaleidoMar: La Jaiba,,Unknown,True,0.0,USD,,0,Simulation,pulpaulaa,Self-published,0,0.0,0.0,Simulation,Chile (General)
itch,,Zogar,,Unknown,True,0.0,USD,,0,Platformer,Avgrat,Self-published,0,0.0,0.0,Platformer,Chile (General)
itch,,STGO SK8 (Santiago Skate),,Unknown,True,0.0,USD,,0,Sports,Disketx,Self-published,0,0.0,0.0,Sports,Chile (General)
itch,,MaldiciÃ³n del Alicanto,,Unknown,True,0.0,USD,,0,Survival,MDL74FSRE1Hz,Self-published,0,0.0,0.0,Survival,Chile (General)
itch,,Michi come back home,,Unknown,True,0.0,USD,,0,Adventure,cpher,Self-published,0,0.0,0.0,Adventure,Chile (General)
itch,,The Longest Completo,,Unknown,True,0.0,USD,,0,Unknown,[Random Adjective],Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,Churro Maniacs,,Unknown,True,0.0,USD,,0,Simulation,FlammyGameDev,Self-published,0,0.0,0.0,Simulation,Chile (General)
itch,,Memoria Fragmentada,,Unknown,True,0.0,USD,,0,Unknown,FlammyGameDev,Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,Pintamonos,,Unknown,True,0.0,USD,,0,Visual Novel,Diegowned,Self-published,0,0.0,0.0,Visual Novel,Chile (General)
itch,,Jueguito para una gamejam de la U xd,,Unknown,True,0.0,USD,,0,Unknown,Chucruu,Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,One Button Prototype,,Unknown,True,0.0,USD,,0,Platformer,Elvis Brevi,Self-published,0,0.0,0.0,Platformer,Chile (General)
itch,,Retro Penal,,Unknown,True,0.0,USD,,0,Sports,Elvis Brevi,Self-published,0,0.0,0.0,Sports,Chile (General)
itch,,Que No Caiga,,Unknown,True,0.0,USD,,0,Sports,Elvis Brevi,Self-published,0,0.0,0.0,Sports,Chile (General)
itch,,Suika_CL,,Unknown,True,0.0,USD,,0,Unknown,FlammyGameDev,Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,Candy Party,,Unknown,True,0.0,USD,,0,Platformer,KaitoArtz,Self-published,0,0.0,0.0,Platformer,Chile (General)
itch,,Finding Gustavo,,Unknown,True,0.0,USD,,0,Interactive Fiction,fiala,Self-published,0,0.0,0.0,Interactive Fiction,Chile (General)
itch,,BODO -QUEST,,Unknown,True,0.0,USD,,0,Adventure,cbasensei,Self-published,0,0.0,0.0,Adventure,Chile (General)
itch,,Magic Chef,,Unknown,True,0.0,USD,,0,Simulation,Fire Forge Developers,Self-published,0,0.0,0.0,Simulation,Chile (General)
itch,,Shadow Past,,Unknown,True,0.0,USD,,0,Platformer,Hv Game Studio,Self-published,0,0.0,0.0,Platformer,Chile (General)
itch,,FUCK! I LOST ALL MY WEED AND NOW I HAVE TO GET IT BACK OR ELSE THE WEED DEMON WILL STEAL MY SOUL: The Game: The Movie,,Unknown,True,0.0,USD,,0,Unknown,*insert name*,Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,"""Quiero ser un mito""",,Unknown,True,0.0,USD,,0,Visual Novel,Reliash,Self-published,0,0.0,0.0,Visual Novel,Chile (General)
itch,,What would you do?,,Unknown,True,0.0,USD,,0,Interactive Fiction,Sara01,Self-published,0,0.0,0.0,Interactive Fiction,Chile (General)
itch,,La Iglesia de la Noche,,Unknown,True,0.0,USD,,0,Unknown,Throndev,Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,Hirokae,,Unknown,True,0.0,USD,,0,Adventure,AkiJaline,Self-published,0,0.0,0.0,Adventure,Chile (General)
itch,,La sociedad de la nieve,,Unknown,True,0.0,USD,,0,Survival,marcelozarate,Self-published,0,0.0,0.0,Survival,Chile (General)
itch,,La Conquista,,Unknown,True,0.0,USD,,0,Action,Forxiga,Self-published,0,0.0,0.0,Action,Chile (General)
itch,,CHOLITO,,Unknown,True,0.0,USD,,0,Simulation,pablocelva,Self-published,0,0.0,0.0,Simulation,Chile (General)
itch,,El Trompo y el PingÃ¼ino,,Unknown,True,0.0,USD,,0,Platformer,b_28282,Self-published,0,0.0,0.0,Platformer,Chile (General)
itch,,CapitÃ¡n Arturo,,Unknown,True,0.0,USD,,0,Unknown,Route5Games,Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,Cherry Y La FusiÃ³n Prohibida,,Unknown,True,0.0,USD,,0,Adventure,Nikozuki,Self-published,0,0.0,0.0,Adventure,Chile (General)
itch,,Walter is Coming,,Unknown,True,0.0,USD,,0,Adventure,Misulas,Self-published,0,0.0,0.0,Adventure,Chile (General)
itch,,Carnivile,,Unknown,True,0.0,USD,,0,Unknown,VangelPix,Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,Dreamnesthesia,,Unknown,True,0.0,USD,,0,Unknown,Merge Branch Games,Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,Negro Matapacos,,Unknown,True,0.0,USD,,0,Action,Nemoris Games,Self-published,0,0.0,0.0,Action,Chile (General)
itch,,Battle Power Ultra,,Unknown,True,0.0,USD,,0,Action,Juan Pablo Vargas Seguel (Champol),Self-published,0,0.0,0.0,Action,Chile (General)
itch,,Corrupted CHICKEN Soul,,Unknown,True,0.0,USD,,0,Platformer,alvaromorenou,Self-published,0,0.0,0.0,Platformer,Chile (General)
itch,,VamosÂ³ a la marcha,,Unknown,True,0.0,USD,,0,Action,BMouse,Self-published,0,0.0,0.0,Action,Chile (General)
itch,,TacosTacosTacos,,Unknown,True,0.0,USD,,0,Unknown,inmortalrobin,Self-published,0,0.0,0.0,Unknown,Chile (General)
itch,,Manuel Rodriguez: Operaciones Especiales (VersiÃ³n PC),,Unknown,True,0.0,USD,,0,Educational,Rolando Chaparro Gehren,Self-published,0,0.0,0.0,Educational,Chile (General)
itch,,Landschaften,,Unknown,True,0.0,USD,,0,Adventure,GaboTroncosoDev,Self-published,0,0.0,0.0,Adventure,Chile (General)
itch,,The Operator Game Jam 2020,,Unknown,True,0.0,USD,,0,Action,chelosky,Self-published,0,0.0,0.0,Action,Chile (General)
itch,,Entropy,,Unknown,True,0.0,USD,,0,Simulation,vranco.3gp,Self-published,0,0.0,0.0,Simulation,Chile (General)
itch,,El Rey del Volantin,,Unknown,True,0.0,USD,,0,Platformer,Krypth,Self-published,0,0.0,0.0,Platformer,Chile (General)
itch,,Graffiti Run,,Unknown,True,0.0,USD,,0,Action,StivArts,Self-published,0,0.0,0.0,Action,Chile (General)
itch,,Informe Zenteno,,Unknown,True,0.0,USD,,0,Adventure,Dreamhouse Games,Self-published,0,0.0,0.0,Adventure,Chile (General)
itch,,ArmonÃ­a,,Unknown,True,0.0,USD,,0,Visual Novel,m1up,Self-published,0,0.0,0.0,Visual Novel,Chile (General)
itch,,Pancito Simulator: Breadtastic Love Story,,Unknown,True,0.0,USD,,0,Visual Novel,Pancito Simulator Team,Self-published,0,0.0,0.0,Visual Novel,Chile (General)
itch,,Roboto Mega Force Trio,,Unknown,True,0.0,USD,,0,Platformer,lovvyvoy,Self-published,0,0.0,0.0,Platformer,Chile (General)
